SURVEY_#,SURVEY_ID,AGE,GENDER,RACE,INDIGENOUS GROUP,MARITIAL_STATUS,CHILDREN,YEARS_ACTIVE_GUERILLA,QUESTION 2 (WVS #33),QUESTION 3 (WVS #35),QUESTION 5 (WVS-6 #48),QUESTION 6 (WVS #28),QUESTION 8 (WVS #29),QUESTION 9 (WVS #30),QUESTION 11 (WVS #31),QUESTION 12 (WVS #32),HOMOSEXUALITY,PROSTITUTION,ABORTION,DIVORCE,PREMARITAL_SEX,HUSBAND_HITTING_WIFE,BREADWINNER,FEMALE_GUERILLA_LEADERS,%_WOMEN_IN_UNIT,GROUP_DOMESTIC_TASKS,IND_DOMESTIC_TASKS,SPOUSE_EARN_MORE,LITERATE_PRE_GUERILLA,JOINED_FORMAL_EDUCATION,FEMINIST,PRIOR_POLITICS_KNOWLEDGE,FORMER_TRADITIONAL_MINDSET,COMMON_TO_FALL_IN_LOVE,COMMON_TO_HAVE_SEX,SEX_PERMITTED,ROMANCE_CIVILIANS,COMMON_MEN_OR_WOMEN,BIRTH_CONTROL,PREGNANCY,ABORTION.1,PRE_POST_SEXISM,COMMENTS
12,VT-12,24.0,Female,Indigenous,,Co-habitation,2.0,5.0,2.0,2.0,2.0,,4.0,4.0,4.0,3.0,10.0,10.0,1.0,10.0,10.0,1.0,0,2.0,50%,3.0,3.0,0.0,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,2,"#11: ""dependo de la persona"" #20: ""2-3 mujeres"" #27: ""lucher por la igualdad si"""
13,VT-13,41.0,Male,Black,,Co-habitation,3.0,24.0,2.0,2.0,2.0,,4.0,4.0,4.0,3.0,10.0,8.5,4.5,10.0,10.0,1.0,0,2.0,50%,3.0,3.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,2,"#11: ""dependo de la persona"" #20: ""2-3 mujeres"" #27: ""lucho por la igualdad de genero"" #33: ""pero sucedia"""
14,VT-14,57.0,Male,Black,,Married,3.0,30.0,2.0,2.0,2.0,1,3.0,4.0,3.0,2.0,8.0,7.5,1.0,10.0,10.0,1.0,1,2.0,50%,2.0,3.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,0,"#5: ""puede ser indep. igual con o sin"" #11: ""aveces las mujeres son mejor pq uno esta pensando en salir, en el billas, etc."" #12: ""yo, el rato que este aqui, uo le ayudo. Hacemos igualito los 2. siella trabajera, me tocaria a mi cuidas a los ninos."" #14: ""a mi me molesta cuando es con las ninas, cuando las obligan. muchos madres lo hacen per necesidad. y lego es culpe del estado."" #21: ""aveces  habia mas mujeres que hombres"" #22: ""depende la gente que huberia. A veces padaba hasta 2-3 sin cocinas. A veces nos haciemos el favor."" #26: ""yo aprendi alla en las FARC; ahora voy en 4* de bachilles"" #27: ""alguien que lucha por la igualdad"" #29: ""yo me crie en el campo, y de buenos modales. Nostoros somos 9. 5 varones y 4 hombras. Mis papas: 'Hijos, yo es voy a pedir una cosa: Nunca entren al ejercito ni trebajen para ricos"" #30: ""eso era normal alla. pero eso nuna fue a la fuerza"" #32: ""con permiso"" pera jantase y separarse igual."" #33: ""muy restrirgido, pero si se daba"" #34: ""era mas criticado"" #35: ""a los hombres nos reartian condones"" #37: ""ellas no decian, se quedaban calladas pa querian tenerlo."""
15,VT-15,50.0,Female,Other,,Co-habitation,,20.0,2.0,2.0,1.0,3,2.0,3.0,4.0,2.0,5.5,5.5,5.5,5.5,5.5,1.0,0,1.0,50%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2,"#25: ""10* de bachiller"" #32: ""por compertamiento"""
16,VT-16,43.0,Female,Mesitza,,Co-habitation,,20.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,5.5,9.0,10.0,10.0,1.0,0,1.0,30%,3.0,3.0,0.0,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,0,"#32: ""con permiso"""
17,VT-17,55.0,Male,Mesitzo,,Single,3.0,29.0,2.0,2.0,1.0,,4.0,4.0,3.0,,10.0,5.5,5.5,10.0,10.0,1.0,1,3.0,30%,3.0,3.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2,"#8: ""depende la persona"" #12: ""depende la persona"" #27: ""luchar per la igualdad si"""
18,VT-18,63.0,Male,Other,,Single,1.0,36.0,2.0,2.0,2.0,4,3.0,3.0,2.0,3.0,1.0,5.5,1.0,7.5,10.0,7.5,1,2.0,10%,2.0,2.0,0.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2,"#5: ""no necesariamente"" #18: ""la mujer le provoca"" #21: ""50 mujeres de 450 hombres en un frente"" #22: ""ibamos por turnos. rancha."" #26: ""yo tuve que pasar 6 meses largos en el curso basico de la guerrilla. Me prepare bieno"" #27: ""una persona que lucha por el derecho de las mujeres? (see recording) #32: ""uno pedia permiso para el matrimonio"""
19,VT-19,37.0,Female,Indigenous,,Co-habitation,2.0,20.0,2.0,2.0,1.0,4,3.0,4.0,4.0,2.0,10.0,10.0,5.5,10.0,10.0,1.0,1,3.0,10%,3.0,3.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,0,
20,VT-20,54.0,Male,Black,,Co-habitation,2.0,30.0,2.0,2.0,2.0,4,3.0,4.0,3.0,2.0,10.0,10.0,5.5,10.0,10.0,1.0,0,3.0,10%,3.0,3.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2,
21,VT-21,51.0,Male,Black,,Single,1.0,25.0,2.0,2.0,1.0,4,3.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,1.0,40%,3.0,3.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0,"#22: ""dependiendo del personal"" #27: ""igualdad si"""
22,VT-22,38.0,Male,White,,Co-habitation,,15.0,1.0,2.0,1.0,3,3.0,4.0,4.0,4.0,10.0,1.0,10.0,10.0,10.0,1.0,1,3.0,60%,2.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,0,"#28: ""poquito"""
23,VT-23,33.0,Female,Indigenous,Wiwa,Co-habitation,1.0,20.0,1.0,2.0,1.0,3,3.0,4.0,4.0,4.0,10.0,1.0,10.0,10.0,10.0,1.0,0,3.0,60%,2.0,2.0,0.0,0.0,1,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,0,
24,VT-24,56.0,Male,White,,Co-habitation,1.0,34.0,1.0,2.0,1.0,3,4.0,4.0,4.0,2.0,10.0,7.5,5.0,6.5,10.0,1.0,1,2.0,20%,2.0,2.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0,"#6: ""depende la edad"" #27: ""pero lucer por los derecho de las mujeres - 8 de marzo!! - !!! no se celebra, se conmemora!"" #32: ""con orden y respeto"""
