survey_#,survey_id,age,gender,race,indigenous_group,marital_status,children,age_entered,years_active_guerilla,question 2 (wvs #33),question 3 (wvs #35),question 5 (wvs-6 #48),question 6 (wvs #28),question 8 (wvs #29),question 9 (wvs #30),question 11 (wvs #31),question 12 (wvs #32),homosexuality,prostitution,abortion,divorce,premarital_sex,husband_hitting_wife,breadwinner,female_guerilla_leaders,pct_women_in_unit,group_domestic_tasks,ind_domestic_tasks,spouse_earn_more,literate_pre_guerilla,joined_formal_education,feminist,prior_politics_knowledge,former_traditional_mindset,common_to_fall_in_love,common_to_have_sex,sex_permitted,romance_civilians,common_men_or_women,birth_control,pregnancy,abortion_commonness,pre_post_sexism
68,AT-13,50.0,Male,White,,Co-habitation,1.0,17.0,28.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,10.0,10.0,1.0,10.0,10.0,1.0,1.0,2.0,50.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,
69,AT-14,45.0,Male,Mestizo/a,,Co-habitation,2.0,10.0,30.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,10.0,3.0,4.0,10.0,10.0,1.0,1.0,2.0,40.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0
70,VP-01,59.0,Male,White,,Co-habitation,5.0,32.0,22.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,10.0,5.5,10.0,10.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0
71,VP-02,32.0,Female,Indigenous,Guigua + Cuencuamo,Single,1.0,11.0,16.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,10.0,10.0,5.5,10.0,5.5,1.0,0.0,3.0,60.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,0.0
72,VP-03,26.0,Female,Indigenous,Aruaca,Single,4.0,10.0,11.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,10.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,3.0,3.0,0.0
73,VP-04,44.0,Female,Other,,Single,1.0,17.0,22.0,0.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,10.0,10.0,1.0,10.0,10.0,1.0,0.0,3.0,30.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0
74,VP-05,35.0,Male,Indigenous,Cancuama,Co-habitation,1.0,9.0,21.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,10.0,5.5,1.0,5.5,5.5,1.0,1.0,1.0,20.0,2.0,2.0,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0
75,VP-06,24.0,Female,Indigenous,Aruaca,Co-habitation,2.0,9.0,10.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,10.0,10.0,10.0,10.0,,10.0,1.0,2.0,60.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0
76,VP-07,56.0,Female,Mestizo/a,,Co-habitation,6.0,20.0,31.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,,5.5,5.5,5.5,10.0,10.0,1.0,0.0,1.0,50.0,3.0,,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,,0.0
77,VP-08,42.0,Female,White,,Single,3.0,17.0,20.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,10.0,5.5,10.0,10.0,10.0,1.0,1.0,3.0,50.0,2.0,2.0,0.0,3.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0
78,VP-09,56.0,Male,Mestizo/a,,Co-habitation,2.0,16.0,35.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,5.5,5.5,5.5,10.0,10.0,1.0,0.0,2.0,30.0,1.0,,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,,0.0
79,VP-10,26.0,Female,Mestizo/a,,Co-habitation,1.0,11.0,10.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,10.0,10.0,1.0,10.0,10.0,1.0,0.0,1.0,50.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0
80,VP-11,35.0,Male,Mestizo/a,,Co-habitation,,15.0,15.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,2.0,40.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,0.0
81,VP-12,49.0,Female,Other,,Single,1.0,14.0,30.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,10.0,10.0,5.5,10.0,10.0,1.0,1.0,3.0,60.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0
82,VP-13,55.0,Female,White,,Co-habitation,1.0,12.0,38.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,10.0,10.0,5.5,10.0,10.0,1.0,0.0,3.0,30.0,,,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,3.0,2.0,2.0
83,VP-14,39.0,Male,Indigenous,Huiwa,Co-habitation,,18.0,16.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,10.0,8.0,1.0,10.0,10.0,1.0,1.0,2.0,50.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0
84,VP-15,23.0,Female,Indigenous,Guaya,Single,1.0,13.0,5.0,2.0,2.0,2.0,,4.0,3.0,3.0,2.0,1.0,1.0,1.0,3.5,1.5,5.5,1.0,2.0,50.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,2.0,0.0
85,VP-16,36.0,Female,White,,Co-habitation,1.0,11.0,20.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,3.0,55.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,3.0,0.0
86,VP-17,52.0,Male,Mestizo/a,,Single,2.0,35.0,12.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,10.0,5.5,10.0,10.0,3.0,1.0,3.0,60.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0
87,VP-18,46.0,Male,Mestizo/a,,Co-habitation,3.0,28.0,13.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,5.5,10.0,10.0,1.0,1.0,2.0,30.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0
88,VP-19,47.0,Female,Mestizo/a,,Widow,1.0,12.0,30.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,10.0,10.0,1.0,5.5,5.5,1.0,1.0,2.0,10.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,0.0
89,VP-20,68.0,Male,Indigenous,Pijau,Single,2.0,28.0,35.0,,2.0,1.0,,4.0,4.0,4.0,2.0,10.0,7.5,1.0,10.0,10.0,1.0,0.0,2.0,40.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0
90,VP-21,38.0,Male,Other,,Co-habitation,1.0,15.0,18.0,2.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,10.0,5.5,10.0,10.0,10.0,1.0,1.0,2.0,30.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0
91,OP-01,46.0,Female,Mestizo/a,,Co-habitation,,16.0,25.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,10.0,9.0,1.0,7.0,10.0,1.0,0.0,2.0,50.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,2.0,2.0,2.0
92,OP-02,37.0,Female,Mestizo/a,,Co-habitation,4.0,25.0,7.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,8.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,20.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,,1.0,2.0
93,OP-03,44.0,Male,Indigenous,,Divorced,1.0,13.0,26.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,10.0,1.0,0.0,2.0,70.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,2.0
94,OP-04,48.0,Female,Mestizo/a,,Single,7.0,15.0,28.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,10.0,10.0,1.0,10.0,10.0,1.0,0.0,2.0,50.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0
95,OP-05,38.0,Female,Indigenous,,Married,2.0,14.0,19.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,9.0,1.0,1.0,10.0,1.0,1.0,0.0,2.0,80.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,0.0,0.0,0.0
96,OP-06,34.0,Female,White,,Co-habitation,2.0,19.0,10.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,8.0,1.0,1.0,10.0,3.0,1.0,0.0,2.0,60.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,2.0,0.0
97,OP-07,39.0,Male,Indigenous,,Co-habitation,3.0,24.0,10.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,10.0,1.0,1.0,10.0,5.0,1.0,0.0,2.0,70.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,0.0
98,OP-08,62.0,Male,Black,,Single,2.0,25.0,32.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,8.0,1.0,1.0,10.0,1.0,1.0,0.0,2.0,70.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0
99,OP-09,25.0,Male,Mestizo/a,,Single,,17.0,3.0,2.0,,1.0,1.0,4.0,4.0,4.0,3.0,1.0,10.0,1.0,3.0,8.0,1.0,0.0,2.0,70.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0
100,OP-10,39.0,Female,Indigenous,,Co-habitation,2.0,20.0,14.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,9.0,10.0,1.0,6.0,8.0,1.0,0.0,2.0,50.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
101,OP-11,50.0,Male,Mestizo/a,,Single,,19.0,26.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,10.0,5.0,1.0,10.0,5.0,1.0,0.0,2.0,20.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0
102,OP-12,29.0,Female,Indigenous,,Single,1.0,,16.0,1.0,,1.0,4.0,4.0,4.0,4.0,4.0,10.0,1.0,6.0,10.0,1.0,1.0,1.0,2.0,10.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,3.0,2.0
103,OP-13,45.0,Male,Other,,Co-habitation,2.0,16.0,24.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,3.0,40.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0
104,OP-14,39.0,Female,Mestizo/a,,Single,2.0,14.0,20.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,9.0,4.0,1.0,10.0,10.0,1.0,1.0,3.0,40.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,0.0,2.0
105,OP-15,40.0,Male,White,,Co-habitation,2.0,14.0,21.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,2.0,20.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
106,OP-16,43.0,Male,Other,,Co-habitation,1.0,14.0,24.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,3.0,,3.0,3.0,0.0,2.0,,,,,,,,,,,,,
107,OP-17,61.0,Male,Mestizo/a,,Co-habitation,3.0,28.0,28.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,30.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0
108,OP-18,45.0,Female,White,,Co-habitation,2.0,10.0,30.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,10.0,10.0,1.0,7.0,1.0,1.0,0.0,2.0,30.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,2.0
109,OP-19,60.0,Female,White,,Single,2.0,25.0,30.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,9.0,6.0,1.0,10.0,1.0,1.0,1.0,2.0,20.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
110,OP-20,38.0,Male,Indigenous,Kankuamo,Co-habitation,2.0,16.0,17.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,10.0,4.0,1.0,10.0,10.0,1.0,0.0,3.0,10.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0
111,OP-21,26.0,Male,Black,,Single,3.0,11.0,10.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,10.0,6.0,1.0,10.0,10.0,1.0,0.0,3.0,20.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0
112,OP-22,25.0,Male,Indigenous,Wayu,Co-habitation,2.0,9.0,11.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,10.0,10.0,9.0,10.0,10.0,6.0,1.0,2.0,40.0,3.0,3.0,0.0,1.0,1.0,0.0,,,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,2.0
113,OP-23,25.0,Female,Indigenous,Wayu,Single,,11.0,9.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,10.0,10.0,10.0,1.0,1.0,1.0,0.0,1.0,60.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,1.0,3.0,2.0,3.0,3.0,2.0
114,OP-24,43.0,Male,Black,,Co-habitation,,18.0,20.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,10.0,10.0,2.0,10.0,1.0,1.0,0.0,2.0,40.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,2.0
115,OP-25,43.0,Male,Mestizo/a,,Married,,22.0,16.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,1.0,1.0,1.0,0.0,2.0,30.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
116,OP-26,49.0,Male,Indigenous,Kankuamo,Co-habitation,4.0,35.0,9.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,1.0,10.0,,3.0,40.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,4.0,3.0,1.0,2.0
117,OP-27,36.0,Male,Indigenous,Kankuamo,Co-habitation,4.0,16.0,15.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,6.0,8.0,10.0,10.0,1.0,1.0,3.0,60.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
118,OP-28,36.0,Male,Black,,Co-habitation,4.0,9.0,22.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,4.0,5.0,10.0,10.0,10.0,1.0,1.0,1.0,3.0,70.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,4.0,1.0,0.0,0.0
119,AP-01,35.0,Female,Indigenous,Kankuamo,Co-habitation,,10.0,20.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,10.0,5.0,5.0,10.0,10.0,1.0,1.0,2.0,30.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0
120,AP-02,28.0,Female,Indigenous,,Co-habitation,2.0,14.0,9.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,8.0,6.0,7.0,10.0,10.0,1.0,0.0,2.0,50.0,3.0,3.0,0.0,3.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,2.0
121,AP-03,39.0,Male,Mestizo/a,,Co-habitation,1.0,19.0,15.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,6.0,5.0,3.0,6.0,7.0,1.0,1.0,2.0,45.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,2.0
122,AP-04,50.0,Female,Indigenous,,Co-habitation,1.0,15.0,30.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,8.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0
123,AP-05,49.0,Male,Black,,Co-habitation,14.0,25.0,19.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,10.0,10.0,1.0,7.0,10.0,1.0,1.0,3.0,10.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0
124,AP-06,42.0,Male,Mestizo/a,,Married,,16.0,21.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,10.0,7.0,2.0,10.0,10.0,1.0,1.0,3.0,30.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,0.0,0.0,0.0
125,AP-07,37.0,Female,White,,Co-habitation,2.0,16.0,16.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,10.0,1.0,1.0,10.0,10.0,1.0,0.0,3.0,80.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,0.0,1.0,2.0
126,AP-08,30.0,Male,Indigenous,,Single,,,17.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,10.0,5.0,1.0,8.0,10.0,1.0,0.0,2.0,70.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,4.0,0.0
127,AP-09,38.0,Male,Mestizo/a,,Co-habitation,1.0,15.0,18.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,10.0,10.0,1.0,0.0,,70.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,4.0,0.0,0.0,0.0
128,AP-10,22.0,Female,Indigenous,,Co-habitation,,9.0,8.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,10.0,9.0,1.0,8.0,10.0,1.0,0.0,3.0,20.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,3.0,0.0,4.0,0.0
129,AP-11,51.0,Male,White,,Co-habitation,2.0,22.0,24.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,10.0,7.0,3.0,7.0,10.0,1.0,1.0,2.0,40.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0
130,AP-12,38.0,Female,Mestizo/a,,Co-habitation,2.0,21.0,12.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,7.0,3.0,6.0,9.0,8.0,1.0,0.0,2.0,20.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,1.0
131,AP-13,38.0,Female,Indigenous,,Single,0.0,13.0,20.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,10.0,1.0,10.0,10.0,10.0,1.0,1.0,2.0,60.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0
132,AP-14,52.0,Male,Black,,Co-habitation,1.0,30.0,17.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,9.0,3.0,9.0,10.0,10.0,1.0,0.0,3.0,40.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0
133,AP-15,24.0,Female,Indigenous,,Co-habitation,1.0,10.0,9.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,10.0,1.0,1.0,10.0,10.0,1.0,1.0,2.0,70.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0
134,AP-16,45.0,Male,Mestizo/a,,Co-habitation,2.0,22.0,18.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,6.0,10.0,10.0,1.0,1.0,2.0,40.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0
135,AP-17,40.0,Female,Mestizo/a,,Co-habitation,1.0,12.0,23.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,10.0,1.0,6.0,10.0,10.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0
136,AP-18,32.0,Female,Other,,Co-habitation,,9.0,18.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,10.0,3.0,5.0,10.0,10.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,2.0
137,AP-19,29.0,Female,Indigenous,Wayuu,Single,,12.0,12.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,10.0,4.0,2.0,10.0,10.0,1.0,0.0,1.0,70.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0
138,AP-20,41.0,Female,Indigenous,Bari,Co-habitation,3.0,11.0,25.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,10.0,1.0,1.0,10.0,10.0,1.0,0.0,2.0,50.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0
139,AP-21,36.0,Female,Other,,Single,,11.0,20.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,10.0,5.0,3.0,10.0,10.0,1.0,1.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0
140,AP-22,45.0,Male,Indigenous,Sinu,Co-habitation,,23.0,17.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,10.0,10.0,5.0,10.0,10.0,1.0,0.0,2.0,40.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,3.0,1.0,1.0,2.0
141,AP-23,33.0,Female,Indigenous,Wayuu,Co-habitation,2.0,13.0,15.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,8.0,6.0,1.0,8.0,10.0,1.0,0.0,2.0,50.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
142,AP-24,55.0,Male,Mestizo/a,,Single,3.0,15.0,35.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,10.0,6.0,10.0,10.0,10.0,1.0,1.0,3.0,40.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0
143,AP-25,45.0,Female,Mestizo/a,,Co-habitation,5.0,36.0,4.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,6.0,8.0,1.0,0.0,2.0,30.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0
144,AP-26,37.0,Female,Other,,Co-habitation,1.0,14.0,18.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,6.0,10.0,10.0,1.0,0.0,2.0,60.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0
145,AP-27,29.0,Female,White,,Separated,2.0,15.0,9.0,1.0,2.0,1.0,4.0,4.0,3.0,3.0,4.0,6.0,5.0,1.0,5.0,10.0,1.0,1.0,3.0,40.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,0.0,0.0
146,AP-28,43.0,Female,Indigenous,Wayuu,Co-habitation,2.0,24.0,14.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,10.0,1.0,1.0,10.0,10.0,1.0,0.0,2.0,60.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0
