survey_#,survey_id,age,gender,race,indigenous_group,marital_status,children,age_entered,years_active_guerilla,question 2 (wvs #33),question 3 (wvs #35),question 5 (wvs-6 #48),question 6 (wvs #28),question 8 (wvs #29),question 9 (wvs #30),question 11 (wvs #31),question 12 (wvs #32),homosexuality,prostitution,abortion,divorce,premarital_sex,husband_hitting_wife,breadwinner,female_guerilla_leaders,pct_women_in_unit,group_domestic_tasks,ind_domestic_tasks,spouse_earn_more,literate_pre_guerilla,joined_formal_education,feminist,prior_politics_knowledge,former_traditional_mindset,common_to_fall_in_love,common_to_have_sex,sex_permitted,romance_civilians,common_men_or_women,birth_control,pregnancy,abortion_commonness,pre_post_sexism
17,VT-17,55.0,Male,Mestizo/a,,Single,3.0,21.0,29.0,2.0,2.0,1.0,,4.0,4.0,3.0,,10.0,5.5,5.5,10.0,10.0,1.0,1.0,3.0,30.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0
18,VT-18,63.0,Male,Other,,Single,1.0,22.0,36.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,5.5,1.0,7.5,10.0,7.5,1.0,2.0,10.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0
19,VT-19,37.0,Female,Indigenous,,Co-habitation,2.0,12.0,20.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,2.0,10.0,10.0,5.5,10.0,10.0,1.0,1.0,3.0,10.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,0.0
20,VT-20,54.0,Male,Black,,Co-habitation,2.0,19.0,30.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,10.0,10.0,5.5,10.0,10.0,1.0,0.0,3.0,10.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0
21,VT-21,51.0,Male,Black,,Single,1.0,21.0,25.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,40.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0
22,VT-22,38.0,Male,White,,Co-habitation,,18.0,15.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,10.0,1.0,10.0,10.0,10.0,1.0,1.0,3.0,60.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,0.0
23,VT-23,33.0,Female,Indigenous,Wiwa,Co-habitation,1.0,,20.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,10.0,1.0,10.0,10.0,10.0,1.0,0.0,3.0,60.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,0.0
24,VT-24,56.0,Male,White,,Co-habitation,1.0,17.0,34.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,10.0,7.5,5.0,6.5,10.0,1.0,1.0,2.0,20.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0
25,VT-25,32.0,Female,White,,Co-habitation,1.0,13.0,14.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,10.0,8.5,6.5,10.0,6.5,1.0,1.0,3.0,50.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,0.0
26,VT-26,62.0,Male,Mestizo/a,,Co-habitation,1.0,20.0,37.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,10.0,9.0,10.0,10.0,10.0,1.0,,2.0,30.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,2.0
27,VT-27,57.0,Male,Black,Guayú,Married,16.0,29.0,23.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,,10.0,10.0,10.0,5.5,10.0,1.0,0.0,2.0,30.0,3.0,3.0,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
28,OT-01,53.0,Female,White,,Co-habitation,5.0,28.0,20.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,3.0,50.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0
29,OT-02,26.0,,White,,Co-habitation,1.0,15.0,6.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,2.0,50.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
30,OT-03,43.0,Male,Mestizo/a,,Co-habitation,2.0,15.0,23.0,1.0,2.0,2.0,4.0,4.0,,4.0,4.0,1.0,9.0,1.0,10.0,10.0,5.0,1.0,2.0,30.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0
31,OT-04,28.0,Male,Indigenous,Wuayu,Single,7.0,,18.0,1.0,2.0,2.0,4.0,4.0,,4.0,2.0,,,,10.0,,1.0,1.0,2.0,40.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
32,OT-05,37.0,Male,Mestizo/a,,Co-habitation,2.0,15.0,17.0,2.0,2.0,2.0,1.0,4.0,,4.0,3.0,10.0,1.0,10.0,10.0,10.0,1.0,1.0,3.0,30.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0
33,OT-06,50.0,Male,White,,Co-habitation,5.0,24.0,21.0,2.0,2.0,2.0,4.0,4.0,4.0,,,8.0,10.0,5.0,10.0,10.0,1.0,1.0,3.0,40.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0
34,OT-07,41.0,Female,White,,Co-habitation,2.0,18.0,18.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,10.0,1.0,1.0,8.0,10.0,1.0,0.0,3.0,30.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,2.0
35,OT-08,38.0,Male,Mestizo/a,,Co-habitation,2.0,20.0,13.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,10.0,1.0,5.0,10.0,10.0,1.0,0.0,3.0,40.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,
36,OT-09,40.0,,White,,Single,,18.0,17.0,2.0,2.0,1.0,1.0,4.0,,4.0,4.0,10.0,2.0,1.0,4.0,10.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0
37,OT-10,48.0,Male,White,,Co-habitation,2.0,20.0,23.0,2.0,2.0,1.0,4.0,4.0,,4.0,4.0,10.0,2.0,1.0,4.0,10.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0
38,OT-11,50.0,Male,Mestizo/a,,Co-habitation,3.0,25.0,20.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,7.0,1.0,1.0,10.0,10.0,1.0,1.0,3.0,80.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,2.0
39,OT-12,24.0,Female,Indigenous,,Married,7.0,,,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,10.0,1.0,1.0,8.0,10.0,1.0,0.0,2.0,50.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
40,OT-13,37.0,Female,Mestizo/a,,Single,2.0,10.0,22.0,1.0,2.0,1.0,,4.0,4.0,4.0,3.0,9.0,10.0,5.0,10.0,10.0,1.0,1.0,2.0,50.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0
